latitude,longitude,year,month,day,cp,e,ilspf,lsp,pev,tcrw,tp,swvl1,swvl2,ro
17.75,77.0,2019,10,5,3.4815166e-05,-0.0005067458999999999,0.0,0.0,-0.00056955015,0.0,3.434578e-05,0.44747967,0.44950444,2.0720996e-05
17.0,77.0,2019,12,25,0.0,-0.00018548723999999998,0.0,0.0,-0.0005334428,0.0,0.0,0.26099598,0.29403853,1.2186356e-06
18.0,77.5,2018,2,11,0.0,-0.0002728309,0.0,0.0,-0.0007684453999999999,0.0,0.0,0.27265853,0.31452470000000005,3.5343692000000005e-06
17.25,77.5,2018,1,15,2.1760352000000002e-06,-0.00028431400000000003,0.0,0.0,-0.0005851147,0.0030599833,1.9441359e-06,0.26813683,0.31485182,3.7783757000000005e-06
18.0,78.0,2018,9,28,7.340219e-05,-0.00044570607,0.0,3.7248246e-06,-0.0006482188500000001,0.0,7.7331904e-05,0.3885862,0.37898573,8.531846000000001e-06
17.25,78.0,2019,12,25,0.0,-0.00024491827999999997,0.0,0.0,-0.00053718145,0.0,0.0,0.23421779999999998,0.27900833,1.2188684e-05
17.75,77.25,2018,9,4,1.9003171e-05,-0.0004560797,0.0,0.0,-0.0006050475,0.0,1.900876e-05,0.40131742,0.40214732,1.4626421000000002e-06
18.0,77.25,2019,4,9,0.0,-0.00027443963,0.0,0.0,-0.0010148212,0.0,0.0,0.26563507,0.28099445,0.0
17.75,77.5,2019,10,9,9.820796500000001e-05,-0.0005318478,0.0,0.0,-0.00060382753,0.0,9.871693e-05,0.45422518,0.46326703,1.8648803e-05
17.75,78.0,2019,1,2,0.0,-0.00023717042999999997,0.0,0.0,-0.0005951893,0.0,0.0,0.24043822,0.2691245,1.2186356e-06
17.75,77.5,2018,7,23,0.00012939703000000002,-0.00036672974,0.17400393,0.00011920044,-0.00043818643,0.006842017,0.00024884474,0.44697315,0.44496557,3.2908283e-06
17.75,77.75,2019,4,14,0.0,-0.00036474192000000003,0.0,0.0,-0.0009716302000000001,0.0,0.0,0.25435549999999996,0.24537292,4.8754737e-07
17.0,77.25,2019,7,21,5.0772447000000004e-05,-0.00025602232000000003,0.0,0.0,-0.00034771152000000004,0.0028192996999999997,5.0978734999999996e-05,0.47725382,0.46316773,4.8754737e-07
17.0,77.25,2018,12,18,2.1760352000000002e-06,-0.00012266304,0.0,0.0,-0.00031740894,0.0,1.9441359e-06,0.30176553,0.32196096,0.0
17.0,77.0,2019,2,1,0.0,-0.00017658368000000003,0.0,0.0,-0.00055851135,0.0,0.0,0.27928668,0.30457076,0.0
17.5,77.0,2018,3,28,0.0,-0.00029005556,0.0,0.0,-0.0009985483,0.0,0.0,0.14668058,0.18749526,4.8754737e-07
17.0,77.5,2018,3,9,0.0,-0.00030779795,0.0,0.0,-0.000823423,0.0,0.0,0.25709817,0.30461165,2.1937302999999996e-06
18.0,77.5,2019,2,26,0.0,-0.00027385717999999995,0.0,0.0,-0.0009431575999999999,0.0,0.0,0.24949402,0.30006114,2.4354085000000004e-07
18.0,77.5,2018,10,12,0.0,-0.00038863267,0.0,0.0,-0.0008870977999999999,0.0,0.0,0.2904242,0.32211283,9.750947e-07
17.5,78.0,2018,9,18,6.7164656e-05,-0.00042306347,0.10001069,1.572771e-05,-0.0005487122,0.0025786160999999998,8.2948245e-05,0.39780876,0.3285969,1.9501895e-06
17.5,77.25,2019,7,22,8.790846999999999e-05,-0.00029744284,0.0,0.0,-0.0004037123,0.0019598007,8.770031999999999e-05,0.3936824,0.37501353,4.8754737e-07
17.75,77.75,2019,4,11,0.0,-0.0002926351,0.0,0.0,-0.0009803472,0.0,0.0,0.22779967,0.24079904,4.8754737e-07
17.75,77.75,2019,6,23,6.382819e-05,-0.00029463213,0.26064729999999997,2.5661197000000003e-05,-0.0004379896599999999,0.051401496,9.007659e-05,0.4115098,0.25522172,4.8754737e-07
17.75,78.0,2018,8,3,0.00011271471000000001,-0.00038212375,0.14206582,2.9179268000000003e-05,-0.0005421598,0.01220572,0.00014213519,0.34297988,0.34907722,1.4626421000000002e-06
18.0,77.75,2019,5,8,0.0,-0.00030753907,0.0,0.0,-0.0012098402,0.0,0.0,0.24749878,0.2949907,0.0
18.0,77.25,2019,10,13,9.110011e-05,-0.00034015769999999997,0.0,0.0,-0.00037809284,0.0,9.115646000000001e-05,0.49044216,0.49406928,2.9618852e-05
17.5,78.0,2018,1,8,0.0,-0.00021287287,0.0,0.0,-0.0005966454000000001,0.0,0.0,0.21842267,0.26385546,6.703660000000001e-06
18.0,77.75,2019,10,10,9.48715e-05,-0.00044113872000000004,0.1449041,9.519514000000001e-06,-0.0005383621,0.0006188154,0.000104333274,0.48561156,0.48703027,4.2659230000000005e-06
18.0,78.0,2019,7,13,3.6410987e-05,-0.0002661278,0.10001069,7.242895700000001e-06,-0.00043488067000000004,0.008045435,4.341826e-05,0.42057794,0.41984126,9.750947e-07
18.0,78.0,2019,2,16,0.0,-0.00023452617,0.0,0.0,-0.0007494768,0.0,0.0,0.21612474,0.27193427,1.706183e-06
17.25,78.0,2019,6,18,2.3208558999999998e-06,-0.00018269505000000002,0.0,0.0,-0.00087566546,0.0053635836,2.8079376000000003e-06,0.21228871,0.23310576,0.0
17.0,77.75,2018,7,16,1.4796386999999999e-05,-0.00018301865000000002,0.9997864,0.00039195362,-0.00014429056,0.073474884,0.0004071812,0.4563069,0.4457308,4.2659230000000005e-06
